Pressure (psi),PI (psi/bbl),Initial Watercut (%),GOR (scf/stb),Temperature Res. (F),ID tubing (in),FTP(Flowing Tubing Pressure) (psig),Killing Fluid (psi/),Max CHP (Psig),Gas Gravity,API,Depth of Reservoir,Depth of Tubing,Max Depth Injection,AOF (STB/d),Max Oil Rate (STB/d),Injected Gas Rate (MMscf/D),Injection Pressure (psig),Liquid rate (STB/d)
561.46,1.235,16.97,190.748,182.67,2.428774626,100.47,0.608,698,0.856,42.684,3289,2839,2779,392,276.584,0.47738,523,333.114
561.87,1.151,19.75,237.853,174.01,2.526222137,93.43,0.408,685.63,0.827,44.182,3135,2659,2599,367,250.8,0.44669,610.63,312.523
562.09,2.07,30.12,201.019,170.86,2.339218368,104.08,0.576,687.37,0.808,42.155,3227,2806,2746,670.2,389.832,0.48741,562.37,557.859
562.61,0.694,23.64,208.237,172.16,2.497472033,97.14,0.627,685.09,1.041,44.25,3247,2815,2755,266.3,148.464,0.4669,510.09,194.427
563.47,1.384,16.34,221.647,172.07,2.223618147,101.17,0.576,683.71,0.957,45.008,3282,2987,2927,440.5,287.687,0.023819,508.71,343.876
564.83,1.461,25.28,224.934,177.6,2.489218339,101.24,0.562,680.69,0.852,43.434,3184,2833,2773,471.8,299.148,0.47275,555.69,400.359
565.19,0.749,30.81,194.11,179.51,2.629458072,105.53,0.566,688.13,0.829,43.7,3296,2833,2773,244.1,130.715,0.040259,513.13,188.921
565.78,0.94,23.57,212.857,170.61,2.415581418,105.48,0.385,691.94,0.905,44.694,3213,2810,2750,303.4,179.447,0.049523,616.94,234.786
566.22,1.708,15.46,249.426,174.27,2.443960321,101.29,0.385,684.71,0.836,44.026,3257,2829,2769,545.8,391.776,0.45625,609.71,463.421
567.27,1.998,12.55,212.169,175.44,2.476383304,102.2,0.496,694.01,0.779,43.459,3186,2780,2720,637.5,469.209,0.45433,569.01,536.546
567.83,0.777,12.54,235.666,174.91,2.370221145,90.24,0.532,683.3,0.952,45.279,3246,2749,2689,248.1,187.045,0.42829,558.3,213.863
568.09,1.134,14.71,220.657,175.16,2.537523233,97.44,0.429,688.68,0.803,48.47,3215,2957,2897,363.2,267.117,0.41034,563.68,313.187
568.21,1.466,22.93,245.768,174.78,2.340661105,100.57,0.502,686.25,0.782,46.178,3266,2844,2784,474.6,309.893,0.41465,561.25,402.093
568.23,1.745,26.79,230.694,178.8,2.432631204,93.11,0.527,687.4,0.792,46.423,3213,2842,2782,568.1,356.28,0.38061,562.4,486.655
569.46,1.492,9.49,194.299,177.98,2.348819487,94.13,0.582,682.93,0.922,46.28,3058,2859,2799,486.8,376.288,0.4013,507.93,415.742
570.5,0.963,22.18,220.028,181.19,2.366475835,105.92,0.473,689.52,0.993,46.393,3281,2686,2626,312.7,204.013,0.49195,564.52,262.16
570.73,1.015,24.85,222.966,179.9,2.625405493,105.57,0.449,689.2,0.771,44.918,3347,2725,2665,331,210.488,0.50091,564.2,280.091
570.87,2.159,17.73,185.164,173.33,2.555118515,95.8,0.424,686.14,0.865,42.782,3390,2661,2601,697.5,483.831,0.45044,611.14,588.102
571.89,0.794,19.28,200.325,174.5,2.362903123,102.59,0.338,695.88,0.996,43.686,3304,2618,2558,259.6,175.786,0.49768,620.88,217.773
572.26,1.783,38.62,217.288,171.1,2.466754678,95.17,0.504,690.2,1.103,47.391,3274,2624,2564,744.8,377.938,0.47964,565.2,615.735
572.83,1.676,17.65,209.406,177.32,2.649530329,103.79,0.517,680.71,1.031,44.358,3121,2561,2501,551,337.386,0.016907,555.71,409.697
573.49,1.458,15.89,205.259,169.12,2.492859489,106.86,0.409,689.72,0.592,44.206,3401,2692,2632,472.1,304.166,0.037705,614.72,361.629
574.21,2.287,20.96,238.704,178.85,2.285702554,100.09,0.425,686.3,0.915,45.777,3260,2761,2701,746.2,433.911,0.037705,614.72,619.519
574.26,1.157,30.18,229.148,172.79,2.405630201,102.87,0.548,687.21,0.804,43.755,3203,2639,2579,382.7,223.609,0.45904,562.21,320.265
574.28,1.965,14.92,204.359,174.86,2.540894864,103.03,0.319,696.19,0.906,45.713,3310,2575,2515,636.5,414.94,0.046729,621.19,487.706
574.52,2.011,17.19,241.412,174.74,2.485204815,96.74,0.334,693.4,0.911,43.478,3225,2790,2730,653.4,459.656,0.39367,618.4,555.073
575.07,2.161,20.76,207.371,169.31,2.428162479,98.22,0.506,685.62,0.938,45.901,3218,2911,2851,706,474.581,0.37788,560.62,598.916
575.21,1.355,26.83,243.455,173.93,2.472811623,102.33,0.383,687.91,1.109,45.225,3283,2843,2783,413.7,234.246,0.027058,612.91,320.139
576.76,2.232,20.69,256.185,171.74,2.641826583,105.55,0.488,692.54,0.815,45.024,3152,2681,2621,731.2,484.043,0.40919,567.54,610.318
576.81,0.511,23.61,215.574,170.6,2.29907461,101.35,0.361,689.37,1.017,45.759,3279,2858,2798,171.7,103.036,0.021391,614.37,134.881
577.23,2.002,12.11,231.311,178.61,2.635501449,96.67,0.636,684.62,0.896,45.759,3187,2614,2554,649.6,483.743,0.43939,559.62,550.396
577.82,1.836,26.74,244.005,173.76,2.573116813,100.2,0.521,694.56,0.789,42.505,3343,2835,2775,607.8,379.543,0.41572,565.56,518.077
578.34,0.58,29.05,199.769,174.82,2.400137015,97.99,0.422,687.84,0.794,45.036,3158,2762,2702,192.9,117.235,0.46659,612.84,165.364
579,0.412,17.03,258.76,175.78,2.50815359,96.27,0.401,693.02,0.927,43.595,3252,2549,2489,134.9,86.2569,0.011467,618.02,103.962
579.18,1.54,23.7,256.622,175.57,2.612059511,108.87,0.53,695.68,0.806,44.912,3323,2717,2657,508.7,298.705,0.030749,570.68,391.487
580.27,1.769,26.49,207.142,175.54,2.376011795,94.22,0.343,697.21,0.839,44.062,3241,2563,2503,587.9,333.871,0.028727,622.21,454.184
581.19,0.986,16.12,241.558,174.18,2.354069484,101.59,0.451,686.86,0.916,45.328,3116,2433,2373,323.6,226.349,0.49183,611.86,269.849
581.32,1.378,22.94,189.416,176.21,2.587465427,99.54,0.601,691.54,0.997,43.618,3074,2692,2632,485.4,317.054,0.48113,566.54,411.438
581.83,1.112,24.84,220.536,174.44,2.471901799,92.08,0.456,686.82,0.941,42.251,3291,2641,2581,369.6,215.274,0.013771,561.82,286.421
582.86,2.331,19.66,227.362,176.13,2.402335128,104.18,0.457,696.11,0.937,45.977,3193,2791,2731,770.7,517.024,0.37747,571.11,643.545
583.68,1.344,18.02,213.006,173.91,2.497315916,102.05,0.381,690.54,1.069,46.345,3112,2733,2673,484,335.849,0.44737,615.54,409.672
584.1,1.801,15.32,243.151,176.65,2.668948522,101.63,0.582,686.85,0.726,42.064,3064,2915,2855,593.6,430.683,0.39995,511.85,508.601
584.58,1.949,12.13,213.198,173.78,2.441068959,99.19,0.326,689.08,0.854,47.403,3054,2795,2735,640.6,478.111,0.39714,614.08,544.112
584.91,1.585,19.52,215.941,171.76,2.586021198,96.08,0.262,690.92,0.957,45.786,3186,2913,2853,525.8,366.174,0.40505,615.92,454.987
584.94,1.887,10.94,222.662,175.24,2.431140955,101.99,0.384,696.07,1.109,41,3136,2683,2623,619.7,454.542,0.33236,621.07,510.377
585.1,1.671,13.56,277.796,175.19,2.391163955,108.75,0.492,688.46,0.831,43.83,3303,2754,2694,550.5,398.338,0.43598,563.46,460.826
585.1,0.983,21.01,242.148,180.46,2.423112657,103.15,0.515,687.46,0.862,46.628,3142,2691,2631,326.9,215.435,0.35619,562.46,272.737
585.25,1.332,16.03,236.943,172.63,2.442635016,100.56,0.294,682.98,0.89,42.94,3208,2585,2525,440.2,285.484,0.021588,607.98,339.984
585.64,2.06,15.72,206.544,174.63,2.452333808,97.81,0.447,690.53,0.986,44.829,3259,2803,2743,693.4,496.005,0.38916,565.53,588.52
586.54,1.245,26.5,195.307,181.54,2.39746842,90.73,0.44,688.42,0.907,43.054,3235,2652,2592,418.3,240.722,0.027756,613.42,327.513
586.63,1.533,18.83,223.592,169.38,2.416383652,92.75,0.442,691.86,0.846,45.043,3469,2834,2774,509.7,357.15,0.39554,566.86,440.002
588.6,2.992,12.74,224.233,172.11,2.45669415,97.69,0.417,692.34,0.767,46.884,3384,2708,2648,990.8,725.12,0.3294,617.34,830.987
588.78,1.564,18.31,232.506,179.17,2.541300536,98.98,0.385,681.87,0.97,41.968,3235,2774,2714,521.6,362.988,0.40523,606.87,444.348
588.9,1.61,11.89,205.357,175.48,2.530916323,106.24,0.562,682.46,0.817,43.391,3213,2781,2721,532.8,396.996,0.48207,557.46,450.568
589.12,2.219,21.51,187.481,170.91,2.36348199,105.1,0.36,676.91,0.791,46.205,3200,2682,2622,743.4,477.118,0.31307,601.91,607.871
589.34,1.988,15.19,194.921,174.71,2.49703626,103.98,0.433,685.68,0.856,46.044,3128,2866,2806,661,476.121,0.4317,560.68,561.397
589.4,1.414,15.09,216.501,174.32,2.410905211,97.35,0.55,685.49,0.993,47.164,3372,2841,2781,489.7,355.963,0.40368,560.49,419.224
589.69,1.589,14.86,218.351,175.55,2.280908365,99.11,0.453,686.29,0.92,43.728,3271,2876,2816,528.4,381.992,0.37042,561.29,448.664
589.84,1.365,16.19,198.953,176.69,2.485461764,96.49,0.298,698.84,0.91,44.276,3324,2825,2765,454.7,327.724,0.4157,623.84,391.032
591.1,1.343,22.27,230.39,177.82,2.294674561,90.4,0.225,685.75,0.828,44.816,3201,2777,2717,452,277.42,0.00023,660.75,356.902
591.58,1.886,9.95,212.119,177.17,2.472943427,93.86,0.555,683.18,0.79,45.749,3217,2751,2691,625.8,481.91,0.36911,558.18,535.159
591.62,1.669,13.7,192.233,175.73,2.523029884,103.14,0.382,688.97,0.786,45.627,3292,2609,2549,556,402.443,0.43844,613.97,466.33
591.8,1.558,26.48,220.866,167.14,2.454833674,94.9,0.494,688.43,1.063,44.378,3363,2648,2588,543.5,344.989,0.49709,563.43,469.244
592.94,1.412,20.21,207.804,172.47,2.623840824,96.16,0.415,690.92,0.89,49.376,3434,2617,2557,492.6,335.303,0.41826,615.92,420.232
593.02,1.277,22.49,238.798,177.69,2.417931037,94.87,0.316,681.23,0.84,44.931,3064,2736,2676,431.2,287.013,0.28732,606.23,370.292
593.48,1.484,20.2,220.091,175.8,2.429815077,97.46,0.322,694.51,0.913,47.764,3222,2777,2717,500,341.126,0.38247,619.51,427.476
593.7,1.447,19.31,231.845,176.21,2.450432241,104.14,0.304,690.7,0.713,43.862,3291,2579,2519,487.1,330.242,0.45458,615.7,409.273
594.43,0.834,15.33,211.789,172.33,2.338332173,99.43,0.488,683.4,0.922,42.864,3370,2641,2581,279.7,185.116,0.02227,558.4,218.632
594.56,2.369,16.65,188.169,173.83,2.290471129,99.18,0.547,691.13,0.881,43.3,3271,2615,2555,796.1,553.15,0.39608,566.13,663.647
594.8,2.049,25.35,209.192,174.45,2.311927562,107.53,0.411,688.68,0.853,44.459,3080,2802,2742,696.9,435.172,0.43406,613.68,582.95
594.83,1.095,26.99,199.377,179.82,2.507886985,105.45,0.361,693.2,0.886,41.734,3221,2801,2741,373.2,215.831,0.050654,618.2,295.619
595.09,2.098,17.42,232.072,174.57,2.415097267,101.23,0.537,696.15,0.814,46.418,3267,2591,2531,706.2,489.42,0.39522,571.15,592.661
595.94,1.424,17.24,211.669,173.23,2.429482038,109.16,0.423,693.67,0.853,45.481,3357,2681,2621,479.9,299.342,0.006287,618.67,361.698
596.58,1.779,25.59,228.427,179.25,2.339161817,97.77,0.387,690.3,1.021,41.415,3221,2725,2665,607,353.749,0.022739,615.3,475.405
597.23,1.553,12.63,215.951,177.49,2.240087963,99.15,0.56,685.68,0.821,47.626,3094,2603,2543,521.7,382.931,0.38042,560.68,438.286
597.8,1.579,31.25,221.781,174.46,2.293095702,93.7,0.403,691.09,0.88,44.746,3291,2736,2676,544.7,309.199,0.17884,616.09,449.745
598.27,1.5,27.16,221.619,173.63,2.652464245,104.16,0.442,685.4,0.734,43,3207,2610,2550,514.5,316.53,0.47245,610.4,434.556
598.71,0.419,23.23,217.294,174.28,2.374622517,99.87,0.589,688.02,0.854,45.551,3211,2752,2692,143,86.2948,0.01,513.02,112.407
598.72,1.384,26.2,174.034,171.51,2.620549195,108.08,0.411,689.1,0.893,46.384,3181,2840,2780,532.8,333.376,0.46167,564.1,451.728
599.01,1.735,18.33,218.994,179.45,2.431220559,101.76,0.534,690.77,0.924,43.351,3073,2749,2689,588.5,383.694,0.051525,565.77,469.81
599.83,0.538,15.42,204.743,173.18,2.474616811,104.26,0.459,695.99,0.891,43.839,3232,2786,2726,182,132.025,0.44828,570.99,156.095
600.4,1.787,16.42,257.807,174.73,2.556063957,104.37,0.406,687.92,0.906,41.981,3167,2678,2618,606.2,395.209,0.011921,612.92,472.851
601.03,0.714,14.4,235.014,174.33,2.416359237,98.73,0.407,687.21,0.845,44.802,3202,2922,2862,241.9,180.286,0.41704,562.21,210.614
601.31,0.945,25.54,241.302,175.71,2.41798767,95.24,0.528,686.5,0.897,50.457,3379,2721,2661,325,208.685,0.38552,561.5,280.264
603.54,1.774,16.47,219.844,173.34,2.548005879,97.72,0.352,691.13,0.755,41.976,3308,2604,2544,605,429.918,0.41295,616.13,514.687
604.81,1.596,29.97,223.369,173.58,2.437828755,101.84,0.488,689.03,0.828,47.24,3329,2718,2658,555.9,330.154,0.38244,564.03,471.447
605.39,1.578,22.54,224.038,176.12,2.459461901,91.64,0.591,690.7,0.923,44.025,3261,2913,2853,544,366.033,0.32545,515.7,472.544
605.58,1.36,6.39,195.001,176.19,2.53153643,101.69,0.333,689.57,0.828,43.946,3193,2793,2733,460.2,369.615,0.45105,614.57,394.846
606.13,1.23,19.12,235.652,173.55,2.541707014,93.51,0.479,688.93,0.968,44.485,3102,2822,2762,422.7,297.327,0.37942,563.93,367.615
606.35,1.073,25.43,211.329,169.44,2.541334486,101.96,0.515,692.72,0.703,46.744,3137,2778,2718,372,237.693,0.3949,567.72,318.752
606.79,1.875,24.89,225.042,173.46,2.347497911,97.11,0.436,693.83,0.913,47.495,3173,2626,2566,641.6,413.385,0.36774,618.83,550.373
606.91,1.516,15.15,232.005,173.09,2.523602964,98.33,0.449,688.46,0.9,47.931,3350,2685,2625,519.1,352.86,0.026881,563.46,415.864
606.94,1.301,18.19,284.049,173.6,2.467097356,96.78,0.604,688.79,0.93,45.086,3308,2601,2541,447.1,312.487,0.39379,563.79,381.967
607.3,1.246,19.73,221.814,175.59,2.516009498,89.54,0.475,679.56,0.874,47.732,3073,2632,2572,429.2,274.2,0.00306,554.56,341.598
608.62,1.041,28,218.594,172.66,2.437107945,109.59,0.614,678.35,0.936,45.264,3344,2709,2649,363.6,221.26,0.4533,503.35,307.305
608.75,2.244,30.8,229.883,176.84,2.471667012,102.58,0.335,687.58,0.911,43.463,3154,2906,2846,787.7,463.679,0.3316,612.58,670.056
609.08,1.413,24.99,216.483,174.12,2.541993866,101.61,0.419,688.53,1.055,44.438,3260,2784,2724,518.5,299.522,0.00653,563.53,399.309
609.56,2.115,25.26,265.885,179.71,2.622681928,92.44,0.439,694.97,0.949,47.413,3237,2801,2741,737,454.218,0.035237,569.97,607.731
609.72,1.552,23.08,243.605,172.23,2.418237627,110.06,0.556,690.39,0.927,47.624,3284,2776,2716,539.3,350.156,0.422522,565.39,455.221
609.88,1.82,20.14,196.113,177.5,2.469403413,93.32,0.455,696.06,0.699,47.209,3223,2755,2695,630,433.126,0.3373,571.06,542.357
610.11,1.6,18.92,192.631,178.42,2.298878696,100.9,0.551,692.3,0.641,46.372,3297,2687,2627,553.3,379.067,0.36355,567.3,467.522
610.29,1.251,16.75,198.503,175.54,2.554426844,103.98,0.488,690.47,0.719,44.433,3199,2569,2509,431.5,278.451,0.014859,565.47,334.476
610.87,0.51,17.18,209.714,170,2.351586378,103.6,0.413,689.63,0.893,44.83,3342,2971,2911,176.2,126.831,0.40449,564.63,153.141
612.19,0.214,19.54,231.62,177.2,2.485945075,100.44,0.378,688.76,0.993,48.059,3106,2832,2772,76.5,53.6467,0.39824,613.76,66.675
612.35,1.134,22.05,232.333,181.84,2.481172304,94.18,0.432,690.7,0.88,48.877,3236,2698,2638,395.2,244.613,0.00181,615.7,313.808
613.11,1.434,18.36,204.773,175.12,2.217509668,99.48,0.305,693.87,0.659,47.487,3131,2685,2625,497.9,344.747,0.35393,618.87,422.277
613.15,0.992,20.7,224.271,179.57,2.556169328,105.16,0.413,695.18,0.782,47.201,3362,2761,2701,345.5,234.786,0.43725,620.18,296.073
613.71,1.193,24.53,232.846,176.32,2.167283841,104.03,0.405,694.51,0.907,46.322,3239,2629,2569,418.1,244.424,0.0088,619.51,323.87
613.94,1.263,18.56,217.228,167.89,2.477321782,97.42,0.574,687.51,0.864,41.064,3159,2743,2683,439.3,283.553,0.01293,562.51,348.174
613.95,2.167,24.18,252.632,175.47,2.406777921,95.34,0.717,695.37,0.84,46.508,3191,2661,2601,759.4,468.197,0.046636,520.37,617.512
613.95,2.136,20.15,202.864,174.63,2.348126961,106.51,0.319,692.61,0.663,46.698,3468,2725,2665,744.5,488.389,0.22551,617.61,611.633
614.12,1.656,15.71,209.3,178.37,2.658669359,102.71,0.461,692.01,0.703,44.357,3339,2692,2632,574,380.37,0.0075089,567.01,451.263
614.45,1.291,24.11,231.741,175.61,2.296654857,100.04,0.412,690.86,0.792,42.593,3103,2855,2795,452.7,295.181,0.38269,615.86,388.959
614.79,1.987,14.39,200.248,178.42,2.315197579,107.66,0.461,687.55,0.846,44.829,3294,2585,2525,688.5,491.906,0.42769,562.55,574.59
615,1.735,28.54,200.67,177.37,2.45212707,88.75,0.258,689.11,0.856,45.413,3313,2674,2614,613.1,400.683,0.73402,614.11,560.709
615.67,1.449,28.38,204.898,174.46,2.503577642,100.67,0.352,690.38,0.923,46.413,3172,2523,2463,533.2,293.246,0.01272,615.38,409.447
615.69,1.662,22.57,238.067,173,2.53467888,98.64,0.436,686.54,0.734,44.72,3099,2762,2702,582.7,386.534,0.33043,561.54,499.204
616.56,1.903,33.57,232.217,170.92,2.347119193,99.96,0.402,688.8,0.955,47.978,3133,2840,2780,682.2,386.31,0.34249,613.8,581.529
616.86,1.676,25.25,219.993,173.08,2.36400885,94.76,0.41,688.21,0.887,43.631,3267,2597,2537,591,377.168,0.37191,613.21,504.572
617.75,0.819,26.67,248.715,177.14,2.358390001,93.37,0.498,688.29,0.934,46.373,3247,2704,2644,289.8,184.025,0.35944,563.29,250.954
617.84,1.325,10.92,225.693,175.66,2.497212963,98.5,0.462,691.25,0.949,40.13,3338,2690,2630,459.6,351.108,0.41983,566.25,394.149
618.15,1.651,20.06,227.254,176.12,2.398331506,90.07,0.423,691.34,0.933,42.547,3230,2770,2710,579.2,400.76,0.33416,616.34,501.326
618.26,2.273,20.07,209.149,176.82,2.579782178,101.02,0.321,690.72,0.946,41.416,3316,2748,2688,797.6,565.9,0.67116,615.72,707.995
618.44,0.289,19.81,245.679,180.14,2.341539168,97.21,0.43,690.28,0.924,40.67,3197,2787,2727,101.5,70.9356,0.39991,565.28,88.4594
618.71,1.009,20.52,245.394,175.01,2.320495586,101.52,0.526,697.05,0.986,46.896,3202,2846,2786,354.6,242.24,0.35362,572.05,304.781
618.78,3.122,24.86,240.267,171.77,2.330229741,101.01,0.462,695.04,0.834,42.261,3142,2739,2679,1103.8,694.801,0.29447,570.04,924.675
619.25,1.607,19.05,227.44,177.86,2.608236712,109.27,0.382,696.21,0.691,45.958,3214,2714,2654,564.1,360.1,0.017044,621.21,444.842
620.16,2.18,30.46,274.227,174.13,2.387171762,98.16,0.406,691.58,0.758,44.039,3319,2550,2490,779.1,440.936,0.10258,616.58,634.075
621.5,1.357,22.69,239.719,179.03,2.49011326,99.03,0.656,695.69,0.964,42.829,3180,2878,2818,480.4,321.758,0.3573,520.69,416.192
621.61,1.619,18.96,229.962,177.17,2.420064269,97.51,0.561,692.85,0.981,45.93,3210,2823,2763,570.4,400.4,0.38496,567.85,494.078
622.12,2.07,32.31,184.476,173.57,2.579407785,98.96,0.33,690.53,0.864,44.813,3182,2658,2598,778.1,413.875,0.031145,615.53,611.427
622.53,1.155,18.32,221.232,169,2.514504946,103.88,0.391,695,0.951,46.987,3209,2726,2666,419,269.378,0.01007,620,329.797
622.8,1.117,15.5,231.128,172.94,2.415990789,96.61,0.432,690.08,0.879,45.102,3430,2562,2502,392.6,266.639,0.03076,615.08,315.549
623.41,0.921,25.54,201.786,173.05,2.43636185,93.88,0.497,688.78,0.721,45.525,3243,2701,2641,328.4,211.829,0.36631,563.78,284.487
624.07,1.519,23.74,224.706,170.23,2.61565751,94.56,0.558,691.04,0.904,45.299,3303,2769,2709,540.8,329.931,0.0041791,566.04,432.639
624.6,1.33,24.04,220.886,174.66,2.372140765,93.97,0.557,692.82,0.847,43.092,3357,2806,2746,474.1,311.884,0.33486,567.82,410.59
624.71,1.493,18.25,222.221,171.68,2.309256515,98.2,0.359,684.42,0.956,48.32,3292,2815,2755,558.3,363.892,0.0041245,609.42,445.128
627.25,1.198,21.45,222.102,182.3,2.443227901,94.64,0.274,700.67,0.867,46.656,3212,2648,2588,427.3,289.737,0.3581,625.67,368.857
627.67,1.671,25.51,172.733,170.78,2.419495247,102.11,0.283,689.95,0.989,47.763,3235,2713,2653,747.7,455.854,0.26326,614.95,611.966
627.96,1.852,12.22,236.55,171.34,2.497895065,100.85,0.602,684.76,0.944,46.959,3388,2942,2882,653.8,496.171,0.33457,509.76,565.244
628.18,1.652,29.67,237.533,175.55,2.39836852,110.17,0.423,691.55,0.821,51.14,3242,2657,2597,597.2,354.333,0.40641,616.55,503.815
628.24,1.549,28.71,238.094,178.21,2.527509725,100.85,0.634,684.91,0.821,47.023,3238,2835,2775,559.2,344.197,0.33473,509.91,482.812
628.32,1.06,22.62,215.989,178.19,2.406806892,99.19,0.362,685.96,0.965,48.642,3179,2882,2822,413.3,253.21,0.0014325,610.96,327.229
628.38,1.397,27.19,227.613,173.19,2.324142876,99.58,0.396,676.51,0.892,43.162,3238,2703,2643,503.2,312.733,0.34455,601.51,429.52
628.51,1.935,20.38,205.718,178.24,2.322681488,108.64,0.297,691.33,0.856,45.197,3270,2775,2715,690.6,464.065,0.37095,616.33,582.849
629.73,1.655,21.31,224.176,175.36,2.561481564,111.85,0.324,687.28,0.824,48.379,3134,2826,2766,592.5,397.681,0.39422,612.28,505.377
629.77,1.498,12.76,233.064,174.42,2.403782607,91.61,0.661,691.87,0.959,46.082,3224,2702,2642,530.7,400.724,0.32676,516.87,459.335
630.46,1.161,20.49,210.179,174.03,2.609110985,93.59,0.378,685.46,0.755,41.973,3421,2899,2839,415.6,267.825,0.02277,610.46,336.845
630.63,1.993,12.24,214.886,177.15,2.430381685,93.81,0.404,693.91,0.821,46.69,3380,2525,2465,706.6,529.43,0.33149,618.91,603.271
630.9,1.885,33.28,221.702,173.56,2.354583806,97.97,0.304,676.64,0.998,44.928,3342,2833,2773,706.6,402.918,0.29309,601.64,603.894
631.21,1.937,12.47,207.251,172.92,2.456532604,97.29,0.534,689.99,0.906,46.377,3050,2963,2903,712.7,539.799,0.30629,564.99,616.702
632.86,0.536,11.82,207.628,175.94,2.451717664,103.45,0.392,688.44,0.891,47.573,3045,2686,2626,199.4,139.754,0.007644,613.44,158.488
633.25,1.413,21.55,218.948,174.25,2.442225662,96,0.52,692.88,1.012,46.165,3308,2760,2700,547.8,437.344,0.006713,567.88,437.66
634.24,1.839,16.25,220.255,175.78,2.318526094,98.35,0.573,690.57,0.885,46.101,3255,2873,2813,658.9,473.547,0.28228,515.57,565.429
634.96,0.582,20.64,207.497,178.02,2.487761783,94.71,0.376,692.91,0.904,47.59,3208,2626,2566,222,152.851,0.37393,617.91,192.605
635.46,1.039,13.56,219.329,174.12,2.387909841,98.5,0.455,690.35,0.842,47.85,3197,2759,2699,371.7,278.403,0.36779,565.35,322.077
636.48,1.513,21.55,204.201,181.19,2.461061899,94.68,0.541,691.36,0.809,47.013,3240,2679,2619,547.6,357.84,0.089408,566.36,456.137
637.23,1.256,25.03,232.185,172.79,2.510956506,97.44,0.466,690.22,0.799,44.404,3337,2723,2663,457.5,296.789,0.34961,565.22,395.877
638.11,1.479,18.97,225.295,179.24,2.576493989,104.13,0.414,681.5,1.097,48.936,3181,2783,2723,624.7,402.851,0.020042,556.5,497.163
638.96,1.147,16.36,211.902,176.52,2.31057837,102.33,0.486,688.59,0.859,39.765,3106,2768,2708,414,273.4,0.0012759,563.59,326.877
639.14,1.417,22.09,230.104,174.4,2.397074072,93.09,0.535,682.78,0.775,46.366,3325,2944,2884,515.5,357.056,0.40667,557.78,458.293
639.19,2.838,14.73,220.055,174.76,2.588361968,103.33,0.367,696.33,0.734,45.323,3322,2906,2846,1022.8,746.905,0.27746,621.33,875.929
639.91,1.813,23.44,169.626,175.63,2.580438474,100.08,0.422,695.75,0.877,43.464,3381,2585,2525,735,480.046,0.407,620.75,627.019
640.85,1.456,16.24,232.44,176.14,2.328960133,101.25,0.481,688.33,0.628,45.711,3274,2817,2757,527,362.631,0.01923,563.33,432.941
641.2,1.031,15.87,232.585,175.46,2.322619087,102.98,0.419,687.57,0.841,46.498,3094,2793,2733,373.2,270.607,0.35081,562.57,321.654
641.44,0.721,24.78,219.813,177.85,2.508138561,101.35,0.579,697.57,0.699,41.948,3134,2759,2699,264.1,172.74,0.41011,572.57,229.646
642.16,1.981,16.71,219.976,176.53,2.251086792,89.05,0.456,688.29,0.963,44.601,3100,2732,2672,724,519.236,0.24578,563.29,623.408
643.93,1.456,34.28,232.925,179.18,2.415101256,103.62,0.321,694.62,0.897,44.489,3448,2854,2794,543.8,308.776,0.34828,619.62,469.836
644.01,1.624,25.26,227.134,176.25,2.462473346,103.58,0.357,687.61,0.871,44.795,3259,2797,2737,597.8,356.427,0.0016464,612.61,476.889
644.14,1.558,26.24,245.699,178.1,2.695564515,93.95,0.534,690.73,1.03,44.754,3346,2752,2692,574.5,369.067,0.30305,565.73,500.363
644.17,1.458,10.1,234.62,176.76,2.493897154,97.39,0.343,690.87,0.839,44.183,3170,2748,2688,526.9,410.624,0.34637,615.87,456.757
647.26,0.838,23.45,238.827,172.73,2.498170818,99.42,0.384,683.95,0.825,43.642,3396,2986,2926,307.9,291.602,0.81551,608.95,286.873
647.96,1.078,12.71,242.896,174.73,2.462609821,102.76,0.359,694.1,0.843,45.37,3106,2789,2729,392.9,297.356,0.37172,619.1,340.653
649.88,1.727,14,222.125,171.93,2.568092621,99.81,0.345,679.68,0.867,47.555,3184,2835,2775,632.3,453.193,0.042741,604.68,526.968
650.04,1.259,22.61,282.45,172.83,2.445020024,100.96,0.479,689.91,0.969,43.134,3306,2651,2591,466.2,294.162,0.019247,564.91,380.103
650.78,0.972,22.75,231.44,172.8,2.369942117,104.98,0.464,694.05,0.951,41.742,3339,2769,2709,360.4,231.849,0.13077,569.05,300.128
651.41,1.52,12.8,257.14,172.18,2.264075707,99.92,0.496,685.32,0.796,45.099,3321,2676,2616,557.1,427.937,0.52733,560.32,4990.754
653.42,2.76,15.43,186.125,181.22,2.287682505,101.3,0.65,698.58,0.868,47.549,3268,2930,2870,1146.7,793.434,0.049197,523.58,938.198
653.91,2.019,25.29,221.691,172.06,2.515098332,103.62,0.441,691.64,0.942,46.802,3140,2827,2767,790.6,528.029,0.61828,566.64,706.772
654.99,1.577,17.51,211.57,174.7,2.526843152,100.61,0.474,700.53,0.803,45.635,3259,2678,2618,584.4,425.689,0.53531,575.53,516.049
655.69,1.568,26.23,213.936,183.54,2.484139297,94.09,0.326,700.42,0.975,42.907,3182,2969,2909,594.5,385.222,0.27186,625.42,522.193
655.88,1.484,23.8,244.352,170.81,2.353654444,95.34,0.475,691.92,0.768,41.94,3324,2704,2644,555.3,365.498,0.28372,566.92,479.656
