Pressure (psi),PI (psi/bbl),Initial Watercut (%),GOR (scf/stb),Temperature Res. (F),ID tubing (in),FTP(Flowing Tubing Pressure) (psig),Killing Fluid (psi/),Max CHP (Psig),Gas Gravity,API,Depth of Reservoir,Depth of Tubing,Max Depth Injection,AOF (STB/d),Max Oil Rate (STB/d),Injected Gas Rate (MMscf/D),Injection Pressure (psig),Liquid rate (STB/d)
465.45,1.005,22.63,220.102,169.72,2.391349481,100.52,0.366,697.21,0.554,44.43,3284,2820,2760,265.1,170.596,0.61965,622.205,220.466
466.5,1.916,19.1,227.641,177.25,2.586232076,103.59,0.438,691.67,0.897,45.071,3193,2786,2726,505.1,297.83,0.18565,566.668,368.1
468.58,1.324,18.63,190.928,180.75,2.370837205,89.4,0.341,689.72,0.808,45.97,3136,2751,2691,349.9,238.795,0.54124,614.72,293.468
469.12,2.182,25.27,201.908,178.01,2.272616449,93.36,0.367,690.07,0.834,42.557,3218,2675,2615,584.6,358.375,0.55397,615.068,479.496
470.07,0.764,21.31,226.069,182.87,2.481241614,104.9,0.337,686.06,0.887,45.583,3469,2832,2772,203.9,133.126,0.63428,611.05,169.157
470.92,2.584,18.31,201.957,176.06,2.351552408,97.65,0.559,693.86,0.845,45.575,3413,2770,2710,689.1,462.631,0.56775,568.86,566.325
473,1.621,16.72,203.287,174.16,2.446062168,87.8,0.235,686.58,0.857,46.466,3219,2698,2638,433.1,269.089,0.10947,661.575,323.075
473.17,2.024,21.24,230.364,173.21,2.414928383,103.55,0.37,693.56,0.962,43.226,3149,2905,2845,543.2,353.965,0.5978,618.559,449.365
475.65,2.138,14.58,198.865,171.52,2.452385313,107.36,0.535,690.3,0.832,41.435,3142,2810,2750,571.1,356.937,0.23345,565.29,417.813
476.64,0.319,25.61,142.744,172.14,2.395253475,99.7,0.562,686.72,0.917,46.57,3167,2875,2815,96.7,53.5252,0.14942,511.72,71.9424
477.85,1.138,7.18,256.761,170.36,2.381477865,106.3,0.486,693.73,0.783,43.804,3236,2695,2635,302,229.253,0.66018,568.728,246.774
478,1.481,10.48,232.97,176.43,2.568262002,107.91,0.65,688.64,0.798,45.407,3116,2872,2812,396.9,267.983,0.25842,513.643,299.356
478.44,1.317,23.18,211.46,171.41,2.362761831,103.36,0.54,685.23,0.929,44.409,3267,2826,2766,357.2,200.181,0.17046,560.227,260.585
479.64,1.918,8.74,191.085,177.35,2.57357081,101.51,0.427,682.79,0.852,44.945,3296,2785,2725,513,387.874,0.64314,607.79,425.021
479.96,1.474,20.46,231.828,172.22,2.322905608,93.13,0.661,686.06,0.945,44.654,3183,2615,2555,401.5,233.465,0.12206,511.06,293.519
480.35,1.928,26.93,234.428,175.83,2.544519879,97.19,0.484,684.91,0.996,45.726,3576,2890,2830,530.7,311.321,0.48531,559.91,426.058
481.35,1.508,21.62,253.629,171.06,2.51218012,96.9,0.345,695.54,0.805,43.278,3267,2776,2716,412.8,238.437,0.11097,620.54,304.194
481.4,0.996,21.41,213.85,174.19,2.291519079,97.51,0.448,693.51,0.857,47.699,3230,2647,2587,272.4,156.55,0.15057,568.509,199.198
481.48,2.145,15.35,175.191,175.61,2.341128281,108.68,0.486,695.15,0.811,45.693,3271,2743,2683,581.4,355.85,0.22893,570.15,420.368
483.03,0.719,15.4,233.224,171.26,2.543874761,96.93,0.43,685.41,0.926,47.016,3222,2829,2769,195.9,143.984,0.094471,560.41,145.027
484.16,1.419,22.58,208.587,170.85,2.503380463,108.44,0.412,693.86,0.845,44.532,3302,2783,2723,388.8,245.247,0.66137,618.86,316.775
484.89,1.415,21.78,232.989,172.3,2.504994049,90.65,0.454,687.49,0.946,42.519,3281,2831,2771,390,228.447,0.073901,562.48,291.758
485.68,0.88,19.46,185.442,173.86,2.523100962,103.82,0.406,687.07,0.873,47.184,3260,2767,2707,242.3,160.73,0.61416,612.072,199.553
486.4,0.984,15.97,210.736,178.02,2.413833797,95.63,0.468,693.82,0.956,43.687,3130,2842,2782,269.2,170.096,0.11241,568.82,202.399
487,1.605,15.59,229.642,179.27,2.489117699,97.94,0.454,687.36,1.005,47.42,3302,2731,2671,441.1,275.541,0.11483,562.36,326.432
489.62,1.623,14.26,243.175,172.02,2.587817787,106.81,0.678,691.8,0.891,43.129,3150,2793,2733,447.5,280.828,0.15786,516.804,327.496
490.57,2.122,28.38,236.122,174.96,2.528969021,105.22,0.562,689.73,0.791,47.406,3375,2961,2901,597.2,319.08,0.12436,514.73,445.518
491.02,1.187,22.3,230.587,173.58,2.255444196,112.55,0.25,689.47,0.913,43.73,3189,2840,2780,331.4,208.202,0.62692,614.47,267.963
492.19,1.441,19.09,234.965,179.53,2.271323824,102.54,0.4,689.29,0.876,46.391,3180,2674,2614,402.1,236.46,0.12227,614.28,292.214
492.58,1.223,22.61,216.351,171.54,2.425073323,102.25,0.536,690.13,0.999,43.708,3283,3032,2972,343,223.019,0.5758,565.12,288.175
493.54,1.501,18.92,223.654,178.31,2.294119304,97.06,0.315,694.06,0.802,46.474,3212,2709,2649,419.5,251.228,0.097332,619.061,309.852
493.77,1.493,17.69,229.574,174.15,2.4463682,97.39,0.53,694.39,0.689,45.407,3250,2868,2808,416.3,257.218,0.07341,569.38,312.499
495.57,0.882,20.01,241.334,175.76,2.406311469,110.76,0.471,687.4,0.828,48.327,3260,2903,2843,247.5,163.31,0.59218,564.39,204.138
496.25,1.197,18.53,220.407,172.79,2.243340102,92.17,0.607,695.47,0.628,45.247,3225,2730,2670,336.2,227.547,0.50236,570.46,279.267
